,Timestamp,Acc-x, Acc-y, Acc-z,Time
6498,1640237460017,0.8024853,1.2630161,7.8481865,2021:12:23:14:31:00.017
6499,1640237460034,-0.48568326,2.9087098,11.564772,2021:12:23:14:31:00.034
6500,1640237460056,-1.3264962,5.646742,12.101957,2021:12:23:14:31:00.056
6501,1640237460077,-0.7737396,0.98873377,17.077366,2021:12:23:14:31:00.077
6502,1640237460101,-1.1294681,5.199386,8.357824,2021:12:23:14:31:00.101
6503,1640237460116,1.2157054,1.6480893,6.499532,2021:12:23:14:31:00.116
6504,1640237460139,-0.7929034,5.4640865,12.055245,2021:12:23:14:31:00.139
6505,1640237460156,-0.21619193,5.083804,7.796684,2021:12:23:14:31:00.156
6506,1640237460183,0.730621,3.1638284,5.5802674,2021:12:23:14:31:00.183
6507,1640237460202,-0.4084291,3.9004378,19.487219,2021:12:23:14:31:00.202
6508,1640237460217,1.3779991,10.598196,-6.573193,2021:12:23:14:31:00.217
6509,1640237460237,3.050642,2.1966538,7.6691246,2021:12:23:14:31:00.237
6510,1640237460256,-0.77493733,5.526369,17.148033,2021:12:23:14:31:00.256
6511,1640237460286,1.2534342,-2.5332186,5.7587304,2021:12:23:14:31:00.286
6512,1640237460302,1.7049818,1.8361343,8.8477,2021:12:23:14:31:00.302
6513,1640237460319,1.8588914,1.8600891,13.681776,2021:12:23:14:31:00.319
6514,1640237460340,1.0468241,1.1138976,10.078976,2021:12:23:14:31:00.340
6515,1640237460372,-0.37129918,2.9620092,13.318861,2021:12:23:14:31:00.372
6516,1640237460392,0.5994685,9.150129,5.740165,2021:12:23:14:31:00.392
6517,1640237460417,0.7437961,-2.797919,4.1507654,2021:12:23:14:31:00.417
6518,1640237460434,-0.18385299,4.48733,10.658682,2021:12:23:14:31:00.434
6519,1640237460457,-0.6689374,7.4996443,8.244638,2021:12:23:14:31:00.457
6520,1640237460473,-0.08264401,3.6213646,8.107497,2021:12:23:14:31:00.473
6521,1640237460497,-0.35213536,2.1152077,10.960512,2021:12:23:14:31:00.497
6522,1640237460516,0.041920874,6.542052,5.211962,2021:12:23:14:31:00.516
6523,1640237460536,-0.9528016,2.3313994,9.395067,2021:12:23:14:31:00.536
6524,1640237460557,-0.37129918,3.3662462,12.276229,2021:12:23:14:31:00.557
6525,1640237460583,-1.1546206,2.2206087,9.183067,2021:12:23:14:31:00.583
6526,1640237460600,-0.94321966,1.3163154,9.291462,2021:12:23:14:31:00.600
6527,1640237460618,-0.57311827,5.026313,8.758469,2021:12:23:14:31:00.618
6528,1640237460637,-0.5683273,4.213048,9.1028185,2021:12:23:14:31:00.637
6529,1640237460657,-0.7078639,3.3949919,9.687315,2021:12:23:14:31:00.657
6530,1640237460683,-0.6401916,4.939477,7.0133624,2021:12:23:14:31:00.683
6531,1640237460700,-0.16468915,2.6248455,8.182955,2021:12:23:14:31:00.700
6532,1640237460715,0.109593146,3.6884382,6.947487,2021:12:23:14:31:00.715
6533,1640237460739,-0.04431635,3.9579294,8.140435,2021:12:23:14:31:00.739
6534,1640237460757,-0.37609014,2.4373994,11.040761,2021:12:23:14:31:00.757
6535,1640237460773,-0.3138077,3.6165738,9.777145,2021:12:23:14:31:00.773
6536,1640237460799,-0.22218063,2.7691731,10.18258,2021:12:23:14:31:00.799
6537,1640237460818,1.4408803,4.3286295,9.673541,2021:12:23:14:31:00.818
6538,1640237460838,-0.6689374,4.3861213,7.640978,2021:12:23:14:31:00.838
